id,Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
38,Islas del Canal,CHI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
39,Chile,CHL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.41E+14,1.47E+14,1.65E+14,1.88E+14,
40,China,CHN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.68E+14,1.79E+14,1.95E+14,2.15E+14,
41,CÃ´te d'Ivoire,CIV,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,8.57E+12,9.72E+12,1.08E+13,1.30E+13,
42,Camerún,CMR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,4.17E+12,4.75E+12,,,
43,"Congo, República Democratica del",COD,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,7.06E+12,9.58E+12,,,
44,"Congo, República del",COG,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.68E+12,1.58E+12,1.70E+12,,
45,Colombia,COL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,4.51E+14,4.74E+14,5.16E+14,5.82E+14,
46,Comoras,COM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.28E+11,1.39E+11,1.47E+11,1.66E+11,
47,Cabo Verde,CPV,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.81E+11,1.84E+11,1.99E+11,2.07E+11,
48,Costa Rica,CRI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.60E+13,1.63E+13,1.70E+13,2.00E+13,
49,Estados pequeos del Caribe,CSS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
50,Cuba,CUB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
51,Curacao,CUW,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
52,Islas Caiman,CYM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
53,Chipre,CYP,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
54,República Checa,CZE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,4.23E+12,4.49E+12,4.78E+12,5.26E+12,
55,Alemania,DEU,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
56,Djibouti,DJI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.71E+11,3.50E+11,3.81E+11,4.54E+11,
57,Dominica,DMA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1757020000,1784536394,1574243690,1389111828,
58,Dinamarca,DNK,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.34E+12,1.36E+12,1.44E+12,1.58E+12,
59,República Dominicana,DOM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.31E+12,1.40E+12,1.57E+12,1.91E+12,
60,Argelia,DZA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.50E+13,1.66E+13,1.65E+13,1.77E+13,
61,Asia oriental y el Pací­fico (excluido altos ingresos),EAP,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
62,inicial del dividendo demografico,EAR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
63,Asia oriental y el Pacífico,EAS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
64,Europa y Asia central (excluido altos ingresos),ECA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
65,Europa y Asia central,ECS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
66,Ecuador,ECU,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,38745337920,40557270730,44148605459,48545077540,
67,"Egipto, República Arabe de",EGY,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.20E+12,3.63E+12,4.11E+12,4.92E+12,
68,Zona del Euro,EMU,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
69,Eritrea,ERI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
70,España,ESP,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
71,Estonia,EST,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
72,Etopía,ETH,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
73,Unión Europea,EUU,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
74,Fragiles y situaciones de conflicto afectados,FCS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
75,Finlandia,FIN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
76,Fiji,FJI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,8167148472,8397159331,8623376773,8724485009,
77,Francia,FRA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
78,Islas Feroe,FRO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
79,Micronesia (Estados Federados de),FSM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,240929000,246544000,249039000,287959000,
80,Gabón,GAB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.68E+12,2.24E+12,2.27E+12,,
81,Reino Unido,GBR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.03E+12,3.19E+12,3.14E+12,3.45E+12,
82,Georgia,GEO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,18416278044,21124724422,24643670676,30379590000,
83,Ghana,GHA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,66982825964,77539928576,94098262048,1.21E+11,
84,Gibraltar,GIB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
85,Guinea,GIN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.16E+13,2.37E+13,2.93E+13,3.59E+13,
86,Gambia,GMB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,26853215791,31753642973,40330593453,49408209331,
87,Guinea-Bissau,GNB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.44E+11,3.65E+11,3.66E+11,3.99E+11,
88,Guinea Ecuatorial,GNQ,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,9.02E+11,8.95E+11,8.30E+11,,
89,Grecia,GRC,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
90,Granada,GRD,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2514510000,2747007126,2691253860,2658779445,
91,Groenlandia,GRL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
92,Guatemala,GTM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.67E+11,2.93E+11,3.19E+11,3.77E+11,
